Potential (V)	Current (A)	Elapsed Time (s)	Frequency (Hz)	Zre (ohms)	Zim (ohms)	|Vac| (V)	|Iac| (A)	
3.38474893569946	-0.149962306022644	2200	0	0	0	0	0	
3.38321304321289	-0.149939298629761	2210	0	0	0	0	0	
3.38136911392212	-0.149962306022644	2220	0	0	0	0	0	
3.37983298301697	-0.14996999502182	2230	0	0	0	0	0	
3.3782958984375	-0.149962306022644	2240	0	0	0	0	0	
3.37676000595093	-0.14996999502182	2250	0	0	0	0	0	
3.37522292137146	-0.149962306022644	2260	0	0	0	0	0	
3.37337899208069	-0.149962306022644	2270	0	0	0	0	0	
3.37184309959412	-0.149939298629761	2280	0	0	0	0	0	
3.37030601501465	-0.149962306022644	2290	0	0	0	0	0	
3.36846208572388	-0.149962306022644	2300	0	0	0	0	0	
3.36661791801453	-0.149962306022644	2310	0	0	0	0	0	
3.36477494239807	-0.14996999502182	2320	0	0	0	0	0	
3.36323809623718	-0.14996999502182	2330	0	0	0	0	0	
3.36200904846191	-0.149985402822495	2340	0	0	0	0	0	
3.35985803604126	-0.149954602122307	2350	0	0	0	0	0	
3.35832095146179	-0.149962306022644	2360	0	0	0	0	0	
3.35647702217102	-0.14996999502182	2370	0	0	0	0	0	
3.35463404655457	-0.149977698922157	2380	0	0	0	0	0	
3.35279011726379	-0.149962306022644	2390	0	0	0	0	0	
3.35094594955444	-0.149954602122307	2400	0	0	0	0	0	
3.34910202026367	-0.149954602122307	2410	0	0	0	0	0	
3.3478729724884	-0.14996999502182	2420	0	0	0	0	0	
3.34572196006775	-0.14996999502182	2430	0	0	0	0	0	
3.34357094764709	-0.14996999502182	2440	0	0	0	0	0	
3.34234189987183	-0.14996999502182	2450	0	0	0	0	0	
3.34019088745117	-0.14996999502182	2460	0	0	0	0	0	
3.3383469581604	-0.149962306022644	2470	0	0	0	0	0	
3.33650302886963	-0.149954602122307	2480	0	0	0	0	0	
3.33435201644897	-0.14996999502182	2490	0	0	0	0	0	
3.3325080871582	-0.149962306022644	2500	0	0	0	0	0	
3.33097100257874	-0.149962306022644	2510	0	0	0	0	0	
3.3285129070282	-0.149947002530098	2520	0	0	0	0	0	
3.32666897773743	-0.149962306022644	2530	0	0	0	0	0	
3.32451796531677	-0.149954602122307	2540	0	0	0	0	0	
3.32267498970032	-0.149962306022644	2550	0	0	0	0	0	
3.32052302360535	-0.149962306022644	2560	0	0	0	0	0	
3.31837201118469	-0.149947002530098	2570	0	0	0	0	0	
3.31622099876404	-0.149954602122307	2580	0	0	0	0	0	
3.31468510627747	-0.149962306022644	2590	0	0	0	0	0	
3.31222605705261	-0.149962306022644	2600	0	0	0	0	0	
3.31007504463196	-0.149962306022644	2610	0	0	0	0	0	
3.30823111534119	-0.149962306022644	2620	0	0	0	0	0	
3.30577301979065	-0.14996999502182	2630	0	0	0	0	0	
3.30362200737	-0.149962306022644	2640	0	0	0	0	0	
3.30147099494934	-0.149962306022644	2650	0	0	0	0	0	
3.29962706565857	-0.14996999502182	2660	0	0	0	0	0	
3.32110190391541	0.14994689822197	2670	0	0	0	0	0	
3.32571196556091	0.14994689822197	2680	0	0	0	0	0	
3.32970690727234	0.149939298629761	2690	0	0	0	0	0	
3.33247303962708	0.149939298629761	2700	0	0	0	0	0	
3.33523797988892	0.149939298629761	2710	0	0	0	0	0	
3.33861899375916	0.149939298629761	2720	0	0	0	0	0	
3.34107708930969	0.14991620182991	2730	0	0	0	0	0	
3.34384298324585	0.149939298629761	2740	0	0	0	0	0	
3.3459939956665	0.149939298629761	2750	0	0	0	0	0	
3.34845304489136	0.14994689822197	2760	0	0	0	0	0	
3.35060405731201	0.149939298629761	2770	0	0	0	0	0	
3.35306191444397	0.149939298629761	2780	0	0	0	0	0	
3.35552096366882	0.149931594729424	2790	0	0	0	0	0	
3.35736489295959	0.149939298629761	2800	0	0	0	0	0	
3.35951590538025	0.149931594729424	2810	0	0	0	0	0	
3.3616669178009	0.149931594729424	2820	0	0	0	0	0	
3.36412596702576	0.149939298629761	2830	0	0	0	0	0	
3.36627697944641	0.14994689822197	2840	0	0	0	0	0	
3.36842799186707	0.149931594729424	2850	0	0	0	0	0	
3.37027192115784	0.149931594729424	2860	0	0	0	0	0	
3.37211608886719	0.14994689822197	2870	0	0	0	0	0	
3.37426710128784	0.149954602122307	2880	0	0	0	0	0	
3.37611103057861	0.149923905730248	2890	0	0	0	0	0	
3.37795400619507	0.149954602122307	2900	0	0	0	0	0	
3.37979793548584	0.149962306022644	2910	0	0	0	0	0	
3.38225698471069	0.14994689822197	2920	0	0	0	0	0	
3.38410091400146	0.149931594729424	2930	0	0	0	0	0	
3.38563704490662	0.149931594729424	2940	0	0	0	0	0	
3.38748097419739	0.149939298629761	2950	0	0	0	0	0	
3.38963198661804	0.149931594729424	2960	0	0	0	0	0	
3.39086198806763	0.149939298629761	2970	0	0	0	0	0	
3.39301300048828	0.149923905730248	2980	0	0	0	0	0	
3.39454889297485	0.149962306022644	2990	0	0	0	0	0	
3.39669990539551	0.149939298629761	3000	0	0	0	0	0	
3.39854407310486	0.14994689822197	3010	0	0	0	0	0	
3.40038800239563	0.149939298629761	3020	0	0	0	0	0	
3.4019250869751	0.149954602122307	3030	0	0	0	0	0	
3.40376901626587	0.149939298629761	3040	0	0	0	0	0	
3.40530490875244	0.149939298629761	3050	0	0	0	0	0	
3.40714907646179	0.149931594729424	3060	0	0	0	0	0	
3.40868496894836	0.149939298629761	3070	0	0	0	0	0	
3.41052889823914	0.149939298629761	3080	0	0	0	0	0	
3.41175889968872	0.149939298629761	3090	0	0	0	0	0	
3.41360211372375	0.149939298629761	3100	0	0	0	0	0	
3.41513895988464	0.149939298629761	3110	0	0	0	0	0	
3.41698288917542	0.149939298629761	3120	0	0	0	0	0	
3.41851902008057	0.149939298629761	3130	0	0	0	0	0	
3.42005610466003	0.14994689822197	3140	0	0	0	0	0	
3.42128491401672	0.149939298629761	3150	0	0	0	0	0	
3.42343592643738	0.149923905730248	3160	0	0	0	0	0	
3.42528009414673	0.149939298629761	3170	0	0	0	0	0	
3.42589497566223	0.14994689822197	3180	0	0	0	0	0	
3.42743110656738	0.149939298629761	3190	0	0	0	0	0	
3.42927503585815	0.14994689822197	3200	0	0	0	0	0	
3.43050503730774	0.149939298629761	3210	0	0	0	0	0	
3.43204092979431	0.149931594729424	3220	0	0	0	0	0	
3.43357801437378	0.149931594729424	3230	0	0	0	0	0	
3.43480706214905	0.149931594729424	3240	0	0	0	0	0	
3.43665099143982	0.149931594729424	3250	0	0	0	0	0	
3.43726491928101	0.149954602122307	3260	0	0	0	0	0	
3.43941593170166	0.149931594729424	3270	0	0	0	0	0	
3.44095301628113	0.149939298629761	3280	0	0	0	0	0	
3.4421820640564	0.149931594729424	3290	0	0	0	0	0	
3.44341206550598	0.149931594729424	3300	0	0	0	0	0	
3.44494795799255	0.14994689822197	3310	0	0	0	0	0	
3.44586992263794	0.149931594729424	3320	0	0	0	0	0	
3.44832801818848	0.149923905730248	3330	0	0	0	0	0	
3.44894289970398	0.149939298629761	3340	0	0	0	0	0	
3.45047998428345	0.149931594729424	3350	0	0	0	0	0	
3.45140099525452	0.149939298629761	3360	0	0	0	0	0	
3.45293807983398	0.149931594729424	3370	0	0	0	0	0	
3.45416688919067	0.149939298629761	3380	0	0	0	0	0	
3.45539689064026	0.149931594729424	3390	0	0	0	0	0	
3.45662593841553	0.149939298629761	3400	0	0	0	0	0	
3.45816206932068	0.149939298629761	3410	0	0	0	0	0	
3.45939207077026	0.149931594729424	3420	0	0	0	0	0	
3.46031403541565	0.149931594729424	3430	0	0	0	0	0	
3.46184992790222	0.14994689822197	3440	0	0	0	0	0	
3.46307897567749	0.14994689822197	3450	0	0	0	0	0	
3.46430897712708	0.149939298629761	3460	0	0	0	0	0	
3.46553802490234	0.149931594729424	3470	0	0	0	0	0	
3.46615195274353	0.149939298629761	3480	0	0	0	0	0	
3.46738195419312	0.149923905730248	3490	0	0	0	0	0	
3.46891808509827	0.149923905730248	3500	0	0	0	0	0	
3.46984004974365	0.149939298629761	3510	0	0	0	0	0	
3.47106909751892	0.149939298629761	3520	0	0	0	0	0	
3.47199106216431	0.149931594729424	3530	0	0	0	0	0	
3.47322106361389	0.14994689822197	3540	0	0	0	0	0	
3.47383499145508	0.149939298629761	3550	0	0	0	0	0	
3.47506403923035	0.149939298629761	3560	0	0	0	0	0	
3.47598600387573	0.149939298629761	3570	0	0	0	0	0	
3.47690796852112	0.149939298629761	3580	0	0	0	0	0	
3.47844505310059	0.149931594729424	3590	0	0	0	0	0	
3.47905898094177	0.149931594729424	3600	0	0	0	0	0	
3.47967410087585	0.149939298629761	3610	0	0	0	0	0	
3.48120999336243	0.149939298629761	3620	0	0	0	0	0	
3.48182511329651	0.149923905730248	3630	0	0	0	0	0	
3.4830539226532	0.149939298629761	3640	0	0	0	0	0	
3.4833619594574	0.149939298629761	3650	0	0	0	0	0	
3.48428392410278	0.149939298629761	3660	0	0	0	0	0	
3.48489809036255	0.149939298629761	3670	0	0	0	0	0	
3.48551297187805	0.14994689822197	3680	0	0	0	0	0	
3.48612809181213	0.149931594729424	3690	0	0	0	0	0	
3.48674201965332	0.149939298629761	3700	0	0	0	0	0	
3.48766398429871	0.149954602122307	3710	0	0	0	0	0	
3.48797106742859	0.149931594729424	3720	0	0	0	0	0	
3.48827910423279	0.149931594729424	3730	0	0	0	0	0	
3.48889303207397	0.14994689822197	3740	0	0	0	0	0	
3.48920106887817	0.149939298629761	3750	0	0	0	0	0	
3.48981499671936	0.14991620182991	3760	0	0	0	0	0	
3.49043011665344	0.14994689822197	3770	0	0	0	0	0	
3.49043011665344	0.149923905730248	3780	0	0	0	0	0	
3.49073696136475	0.14994689822197	3790	0	0	0	0	0	
3.49104499816895	0.149931594729424	3800	0	0	0	0	0	
3.49165892601013	0.149931594729424	3810	0	0	0	0	0	
3.49258089065552	0.14994689822197	3820	0	0	0	0	0	
3.49196600914001	0.149962306022644	3830	0	0	0	0	0	
3.49258089065552	0.149931594729424	3840	0	0	0	0	0	
3.4931960105896	0.149939298629761	3850	0	0	0	0	0	
3.4928879737854	0.149939298629761	3860	0	0	0	0	0	
3.49350309371948	0.149954602122307	3870	0	0	0	0	0	
3.49350309371948	0.149931594729424	3880	0	0	0	0	0	
3.49350309371948	0.149939298629761	3890	0	0	0	0	0	
3.49380993843079	0.14991620182991	3900	0	0	0	0	0	
3.49411702156067	0.149954602122307	3910	0	0	0	0	0	
